編號,證券代號,證券名稱,累計次數,注意交易資訊,日期,收盤價,本益比
1,01004T,土銀富邦R2,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.21倍。當日之成交量較最近六十個營業日之平均成交量放大為 14.90倍﹝第九款﹞。,107.12.28,12.60     ,-----     
2,03775P,康友凱基83售03,6,最近六個營業日累積收盤價漲幅達34.60%﹝第一款﹞。,107.11.06,5.30      ,-----     
2,03775P,康友凱基83售03,6,最近六個營業日累積收盤價漲幅達35.41%﹝第一款﹞。,107.11.05,4.99      ,-----     
2,03775P,康友凱基83售03,6,最近六個營業日累積收盤價漲幅達35.54%﹝第一款﹞。且11月02日凱基自營證券商買進之比率為87.01%﹝第五款﹞。,107.11.02,4.62      ,-----     
2,03775P,康友凱基83售03,6,最近六個營業日累積收盤價漲幅達35.70%﹝第一款﹞。且11月01日元大自營證券商買進之比率為71.85%﹝第五款﹞。,107.11.01,4.21      ,-----     
2,03775P,康友凱基83售03,6,最近六個營業日累積收盤價漲幅達31.55%。且10月31日元大自營證券商買進之比率為43.76%﹝第五款﹞。,107.10.31,3.75      ,-----     
2,03775P,康友凱基83售03,6,最近六個營業日累積收盤價漲幅達32.97%﹝第一款﹞。,107.10.30,3.53      ,-----     
3,03891P,康友元富85售01,2,最近六個營業日累積收盤價漲幅達38.50%﹝第一款﹞。,107.11.08,4.13      ,-----     
3,03891P,康友元富85售01,2,最近六個營業日累積收盤價漲幅達33.96%﹝第一款﹞。,107.10.30,3.11      ,-----     
4,03949P,康友凱基84售02,3,最近六個營業日累積收盤價漲幅達38.79%﹝第一款﹞。,107.11.06,5.80      ,-----     
4,03949P,康友凱基84售02,3,最近六個營業日累積收盤價漲幅達35.88%﹝第一款﹞。且10月31日國票自營證券商買進之比率為40.94%﹝第五款﹞。,107.10.31,4.28      ,-----     
4,03949P,康友凱基84售02,3,最近六個營業日累積收盤價漲幅達37.69%﹝第一款﹞。,107.10.30,4.08      ,-----     
5,04002P,康友國票84售02,9,最近六個營業日累積收盤價跌幅達33.44%﹝第一款﹞。,107.11.15,16.10     ,-----     
5,04002P,康友國票84售02,9,最近六個營業日累積收盤價漲幅達36.74%﹝第一款﹞。,107.11.08,18.30     ,-----     
5,04002P,康友國票84售02,9,最近六個營業日累積收盤價漲幅達36.61%﹝第一款﹞。,107.11.07,19.20     ,-----     
5,04002P,康友國票84售02,9,最近六個營業日累積收盤價漲幅達36.71%﹝第一款﹞。,107.11.06,18.30     ,-----     
5,04002P,康友國票84售02,9,最近六個營業日累積收盤價漲幅達37.38%﹝第一款﹞。,107.11.05,17.20     ,-----     
5,04002P,康友國票84售02,9,最近六個營業日累積收盤價漲幅達38.02%﹝第一款﹞。,107.11.02,16.00     ,-----     
5,04002P,康友國票84售02,9,最近六個營業日累積收盤價漲幅達38.31%﹝第一款﹞。,107.11.01,14.60     ,-----     
5,04002P,康友國票84售02,9,最近六個營業日累積收盤價漲幅達32.05%﹝第一款﹞。,107.10.31,13.00     ,-----     
5,04002P,康友國票84售02,9,最近六個營業日累積收盤價漲幅達38.67%﹝第一款﹞。,107.10.29,13.00     ,-----     
6,04013P,康友元大84售06,5,最近六個營業日累積收盤價漲幅達36.80%﹝第一款﹞。,107.11.06,8.70      ,-----     
6,04013P,康友元大84售06,5,最近六個營業日累積收盤價漲幅達36.55%﹝第一款﹞。,107.11.05,8.15      ,-----     
6,04013P,康友元大84售06,5,最近六個營業日累積收盤價漲幅達36.54%﹝第一款﹞。,107.11.02,7.55      ,-----     
6,04013P,康友元大84售06,5,最近六個營業日累積收盤價漲幅達37.03%﹝第一款﹞。,107.11.01,6.90      ,-----     
6,04013P,康友元大84售06,5,最近六個營業日累積收盤價漲幅達32.96%﹝第一款﹞。,107.10.30,5.85      ,-----     
7,04026P,康友群益84售03,6,最近六個營業日累積收盤價漲幅達34.29%﹝第一款﹞。,107.11.06,5.75      ,-----     
7,04026P,康友群益84售03,6,最近六個營業日累積收盤價漲幅達34.40%﹝第一款﹞。,107.11.05,5.40      ,-----     
7,04026P,康友群益84售03,6,最近六個營業日累積收盤價漲幅達35.43%﹝第一款﹞。,107.11.02,5.05      ,-----     
7,04026P,康友群益84售03,6,最近六個營業日累積收盤價漲幅達35.49%﹝第一款﹞。且11月01日元大自營證券商買進之比率為84.56%﹝第五款﹞。,107.11.01,4.62      ,-----     
7,04026P,康友群益84售03,6,最近六個營業日累積收盤價漲幅達32.32%﹝第一款﹞。,107.10.31,4.14      ,-----     
7,04026P,康友群益84售03,6,最近六個營業日累積收盤價漲幅達34.59%﹝第一款﹞。,107.10.30,3.90      ,-----     
