編號,證券代號,證券名稱,累計次數,注意交易資訊,日期,收盤價,本益比
1,01002T,土銀國泰R1,3,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.67倍。當日之成交量較最近六十個營業日之平均成交量放大為9.93倍﹝第九款﹞。,108.07.01,15.49     ,-----     
1,01002T,土銀國泰R1,3,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為8.01倍。當日之成交量較最近六十個營業日之平均成交量放大為 29.76倍﹝第九款﹞。,108.01.09,15.30     ,-----     
1,01002T,土銀國泰R1,3,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.10倍。當日之成交量較最近六十個營業日之平均成交量放大為 33.88倍﹝第九款﹞。,108.01.08,15.18     ,-----     
2,01003T,兆豐新光R1,4,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為9.54倍。當日之成交量較最近六十個營業日之平均成交量放大為 20.23倍﹝第九款﹞。,108.12.23,17.85     ,-----     
2,01003T,兆豐新光R1,4,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為9.31倍。當日之成交量較最近六十個營業日之平均成交量放大為 34.97倍﹝第九款﹞。,108.12.20,17.85     ,-----     
2,01003T,兆豐新光R1,4,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為8.28倍。當日之成交量較最近六十個營業日之平均成交量放大為 48.82倍﹝第九款﹞。,108.12.18,17.90     ,-----     
2,01003T,兆豐新光R1,4,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為7.18倍。當日之成交量較最近六十個營業日之平均成交量放大為 42.31倍﹝第九款﹞。,108.04.19,16.85     ,-----     
3,01004T,土銀富邦R2,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.14倍。當日之成交量較最近六十個營業日之平均成交量放大為 12.50倍﹝第九款﹞。,108.08.22,13.25     ,-----     
4,01007T,兆豐國泰R2,2,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.70倍。當日之成交量較最近六十個營業日之平均成交量放大為 32.43倍﹝第九款﹞。,108.12.30,17.21     ,-----     
4,01007T,兆豐國泰R2,2,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.29倍。當日之成交量較最近六十個營業日之平均成交量放大為 30.17倍﹝第九款﹞。,108.04.19,16.40     ,-----     
5,01009T,王道圓滿R1,3,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.83倍。當日之成交量較最近六十個營業日之平均成交量放大為7.59倍﹝第九款﹞。,108.10.02,8.50      ,-----     
5,01009T,王道圓滿R1,3,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為7.15倍。當日之成交量較最近六十個營業日之平均成交量放大為 20.17倍﹝第九款﹞。,108.09.26,8.50      ,-----     
5,01009T,王道圓滿R1,3,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.69倍。當日之成交量較最近六十個營業日之平均成交量放大為 15.04倍﹝第九款﹞。,108.09.24,9.00      ,-----     
6,01010T,京城樂富R1,3,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.49倍。當日之成交量較最近六十個營業日之平均成交量放大為 18.61倍﹝第九款﹞。,108.08.21,10.02     ,-----     
6,01010T,京城樂富R1,3,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為9.32倍。當日之成交量較最近六十個營業日之平均成交量放大為 28.65倍﹝第九款﹞。,108.08.16,10.00     ,-----     
