編號,證券代號,證券名稱,累計次數,注意交易資訊,日期,收盤價,本益比
1,01004T,土銀富邦R2,1,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.52倍。當日之成交量較最近六十個營業日之平均成交量放大為 37.09倍﹝第九款﹞。,110.06.28,16.10     ,-----     
2,01010T,京城樂富R1,2,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為9.17倍。當日之成交量較最近六十個營業日之平均成交量放大為 27.36倍﹝第九款﹞。,110.03.03,10.90     ,-----     
2,01010T,京城樂富R1,2,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為8.49倍。當日之成交量較最近六十個營業日之平均成交量放大為 50.19倍﹝第九款﹞。,110.03.02,10.85     ,-----     
3,030001,萬海中信0B購01,4,最近六個營業日累積收盤價漲幅達37.44%﹝第一款﹞。,110.07.06,27.00     ,-----     
3,030001,萬海中信0B購01,4,最近六個營業日累積收盤價漲幅達41.28%﹝第一款﹞。,110.07.05,26.00     ,-----     
3,030001,萬海中信0B購01,4,最近六個營業日累積收盤價漲幅達53.22%﹝第一款﹞。,110.07.02,26.60     ,-----     
3,030001,萬海中信0B購01,4,最近六個營業日累積收盤價漲幅達39.55%﹝第一款﹞。,110.06.29,20.20     ,-----     
4,030047,長榮元大0A購04,4,最近六個營業日累積收盤價跌幅達37.70%﹝第一款﹞。,110.08.03,14.40     ,-----     
4,030047,長榮元大0A購04,4,最近六個營業日累積收盤價跌幅達47.22%﹝第一款﹞。,110.08.02,14.40     ,-----     
4,030047,長榮元大0A購04,4,最近六個營業日累積收盤價跌幅達48.39%﹝第一款﹞。,110.07.30,16.10     ,-----     
4,030047,長榮元大0A購04,4,最近六個營業日累積收盤價跌幅達38.71%﹝第一款﹞。,110.07.29,18.20     ,-----     
5,030048,長榮元大0A購05,1,最近六個營業日累積收盤價跌幅達36.26%﹝第一款﹞。,110.07.29,23.00     ,-----     
6,030049,長榮元大0A購06,4,最近六個營業日累積收盤價跌幅達35.86%﹝第一款﹞。,110.08.02,17.10     ,-----     
6,030049,長榮元大0A購06,4,最近六個營業日累積收盤價跌幅達49.01%﹝第一款﹞。,110.07.30,16.20     ,-----     
6,030049,長榮元大0A購06,4,最近六個營業日累積收盤價跌幅達49.00%﹝第一款﹞。,110.07.29,19.00     ,-----     
6,030049,長榮元大0A購06,4,最近六個營業日累積收盤價跌幅達49.00%﹝第一款﹞。,110.07.28,19.00     ,-----     
7,030061,彩晶元大0A購05,1,最近六個營業日累積收盤價跌幅達39.16%﹝第一款﹞。,110.05.25,3.18      ,-----     
8,030133,長榮凱基13購01,4,最近六個營業日累積收盤價跌幅達43.91%﹝第一款﹞。,110.07.28,6.15      ,-----     
8,030133,長榮凱基13購01,4,最近六個營業日累積收盤價跌幅達44.00%﹝第一款﹞。,110.07.26,6.80      ,-----     
8,030133,長榮凱基13購01,4,最近六個營業日累積收盤價跌幅達38.86%﹝第一款﹞。,110.07.23,8.00      ,-----     
8,030133,長榮凱基13購01,4,最近六個營業日累積收盤價跌幅達33.48%﹝第一款﹞。,110.07.22,9.10      ,-----     
9,030144,新唐凱基0C購01,1,最近六個營業日累積收盤價跌幅達37.48%﹝第一款﹞。,110.09.15,6.85      ,-----     
10,03018P,華邦電群益01售03,6,最近六個營業日累積收盤價跌幅達40.42%﹝第一款﹞。,110.01.20,1.23      ,-----     
10,03018P,華邦電群益01售03,6,最近六個營業日累積收盤價跌幅達50.15%﹝第一款﹞。,110.01.19,1.23      ,-----     
10,03018P,華邦電群益01售03,6,最近六個營業日累積收盤價跌幅達39.00%﹝第一款﹞。,110.01.18,1.50      ,-----     
10,03018P,華邦電群益01售03,6,最近六個營業日累積收盤價漲幅達45.51%﹝第一款﹞。,110.01.11,10.30     ,-----     
10,03018P,華邦電群益01售03,6,最近六個營業日累積收盤價漲幅達45.28%﹝第一款﹞。,110.01.08,8.50      ,-----     
10,03018P,華邦電群益01售03,6,最近六個營業日累積收盤價漲幅達35.53%﹝第一款﹞。,110.01.07,6.75      ,-----     
11,030210,台驊控凱基0C購01,3,最近六個營業日累積收盤價跌幅達40.87%﹝第一款﹞。,110.09.15,13.90     ,-----     
11,030210,台驊控凱基0C購01,3,最近六個營業日累積收盤價跌幅達35.69%﹝第一款﹞。,110.09.14,13.60     ,-----     
11,030210,台驊控凱基0C購01,3,最近六個營業日累積收盤價跌幅達38.43%﹝第一款﹞。,110.09.13,15.50     ,-----     
12,030211,慧洋凱基0A購01,3,最近六個營業日累積收盤價跌幅達39.14%﹝第一款﹞。,110.07.30,9.95      ,-----     
12,030211,慧洋凱基0A購01,3,最近六個營業日累積收盤價跌幅達35.12%﹝第一款﹞。,110.07.29,10.80     ,-----     
12,030211,慧洋凱基0A購01,3,最近六個營業日累積收盤價跌幅達38.76%﹝第一款﹞。,110.07.28,10.10     ,-----     
13,030356,東森群益0B購01,1,最近六個營業日累積收盤價跌幅達37.97%﹝第一款﹞。,110.08.05,12.30     ,-----     
14,030412,長榮元大0C購05,3,最近六個營業日累積收盤價跌幅達38.51%﹝第一款﹞。,110.07.30,24.00     ,-----     
14,030412,長榮元大0C購05,3,最近六個營業日累積收盤價跌幅達44.02%﹝第一款﹞。,110.07.29,25.90     ,-----     
14,030412,長榮元大0C購05,3,最近六個營業日累積收盤價跌幅達58.71%﹝第一款﹞。,110.07.28,23.90     ,-----     
15,030413,長榮元大0C購06,3,最近六個營業日累積收盤價跌幅達39.05%﹝第一款﹞。,110.08.02,21.80     ,-----     
15,030413,長榮元大0C購06,3,最近六個營業日累積收盤價跌幅達48.80%﹝第一款﹞。,110.07.30,21.80     ,-----     
15,030413,長榮元大0C購06,3,最近六個營業日累積收盤價跌幅達39.12%﹝第一款﹞。,110.07.29,25.30     ,-----     
16,030414,長榮元大11購01,2,最近六個營業日累積收盤價跌幅達34.75%﹝第一款﹞。,110.07.29,6.80      ,-----     
16,030414,長榮元大11購01,2,最近六個營業日累積收盤價跌幅達46.23%﹝第一款﹞。,110.07.28,6.60      ,-----     
17,030613,長榮元大0A購08,4,最近六個營業日累積收盤價跌幅達38.80%﹝第一款﹞。,110.08.03,23.70     ,-----     
17,030613,長榮元大0A購08,4,最近六個營業日累積收盤價跌幅達48.48%﹝第一款﹞。,110.08.02,23.70     ,-----     
17,030613,長榮元大0A購08,4,最近六個營業日累積收盤價跌幅達48.46%﹝第一款﹞。,110.07.30,27.20     ,-----     
17,030613,長榮元大0A購08,4,最近六個營業日累積收盤價跌幅達38.90%﹝第一款﹞。,110.07.29,31.00     ,-----     
18,030614,長榮元大0A購09,3,最近六個營業日累積收盤價跌幅達38.57%﹝第一款﹞。,110.08.02,21.40     ,-----     
18,030614,長榮元大0A購09,3,最近六個營業日累積收盤價跌幅達48.07%﹝第一款﹞。,110.07.30,21.40     ,-----     
18,030614,長榮元大0A購09,3,最近六個營業日累積收盤價跌幅達38.64%﹝第一款﹞。,110.07.29,24.40     ,-----     
19,030615,長榮元大0A購10,2,最近六個營業日累積收盤價跌幅達32.48%﹝第一款﹞。,110.07.23,13.50     ,-----     
19,030615,長榮元大0A購10,2,最近六個營業日累積收盤價跌幅達40.91%﹝第一款﹞。,110.07.22,13.80     ,-----     
20,030703,長榮群益0C購03,4,最近六個營業日累積收盤價跌幅達34.44%﹝第一款﹞。,110.10.14,9.45      ,-----     
20,030703,長榮群益0C購03,4,最近六個營業日累積收盤價跌幅達37.30%﹝第一款﹞。,110.10.13,8.50      ,-----     
20,030703,長榮群益0C購03,4,最近六個營業日累積收盤價跌幅達33.96%﹝第一款﹞。,110.07.22,27.30     ,-----     
20,030703,長榮群益0C購03,4,最近六個營業日累積收盤價跌幅達32.77%﹝第一款﹞。,110.07.20,33.60     ,-----     
21,030744,長榮元大0A購12,2,最近六個營業日累積收盤價跌幅達35.14%﹝第一款﹞。,110.07.30,20.00     ,-----     
21,030744,長榮元大0A購12,2,最近六個營業日累積收盤價跌幅達35.14%﹝第一款﹞。,110.07.29,20.00     ,-----     
22,030768,長榮康和0A購01,2,最近六個營業日累積收盤價跌幅達38.71%﹝第一款﹞。,110.07.30,13.80     ,-----     
22,030768,長榮康和0A購01,2,最近六個營業日累積收盤價跌幅達38.71%﹝第一款﹞。,110.07.29,13.80     ,-----     
23,030798,長榮凱基0A購08,2,最近六個營業日累積收盤價跌幅達34.23%﹝第一款﹞。,110.07.29,9.30      ,-----     
23,030798,長榮凱基0A購08,2,最近六個營業日累積收盤價跌幅達32.75%﹝第一款﹞。,110.07.23,12.70     ,-----     
24,030908,長榮凱基0A購10,2,最近六個營業日累積收盤價跌幅達47.55%﹝第一款﹞。,110.07.26,16.60     ,-----     
24,030908,長榮凱基0A購10,2,最近六個營業日累積收盤價跌幅達38.79%﹝第一款﹞。,110.07.23,19.30     ,-----     
25,030930,長榮群益0B購06,2,最近六個營業日累積收盤價跌幅達38.87%﹝第一款﹞。,110.10.14,24.30     ,-----     
25,030930,長榮群益0B購06,2,最近六個營業日累積收盤價跌幅達38.87%﹝第一款﹞。,110.10.13,24.30     ,-----     
26,030984,長榮元大0A購13,3,最近六個營業日累積收盤價跌幅達38.57%﹝第一款﹞。,110.08.02,20.60     ,-----     
26,030984,長榮元大0A購13,3,最近六個營業日累積收盤價跌幅達48.07%﹝第一款﹞。,110.07.30,20.60     ,-----     
26,030984,長榮元大0A購13,3,最近六個營業日累積收盤價跌幅達38.64%﹝第一款﹞。,110.07.29,23.60     ,-----     
27,030985,長榮元大0A購14,3,最近六個營業日累積收盤價跌幅達39.05%﹝第一款﹞。,110.08.02,22.10     ,-----     
27,030985,長榮元大0A購14,3,最近六個營業日累積收盤價跌幅達48.80%﹝第一款﹞。,110.07.30,22.10     ,-----     
27,030985,長榮元大0A購14,3,最近六個營業日累積收盤價跌幅達39.12%﹝第一款﹞。,110.07.29,25.60     ,-----     
28,031107,長榮群益0B購07,3,最近六個營業日累積收盤價跌幅達35.53%﹝第一款﹞。,110.10.14,11.20     ,-----     
28,031107,長榮群益0B購07,3,最近六個營業日累積收盤價跌幅達39.29%﹝第一款﹞。,110.10.13,9.95      ,-----     
28,031107,長榮群益0B購07,3,最近六個營業日累積收盤價跌幅達37.60%﹝第一款﹞。,110.08.17,21.20     ,-----     
29,031109,裕民群益0B購01,5,最近六個營業日累積收盤價跌幅達39.03%﹝第一款﹞。,110.10.29,6.10      ,-----     
29,031109,裕民群益0B購01,5,最近六個營業日累積收盤價跌幅達39.03%﹝第一款﹞。,110.10.28,6.10      ,-----     
29,031109,裕民群益0B購01,5,最近六個營業日累積收盤價跌幅達39.03%﹝第一款﹞。,110.10.27,6.10      ,-----     
29,031109,裕民群益0B購01,5,最近六個營業日累積收盤價跌幅達33.21%﹝第一款﹞。,110.05.24,4.53      ,-----     
29,031109,裕民群益0B購01,5,最近六個營業日累積收盤價跌幅達35.52%﹝第一款﹞。,110.05.21,4.00      ,-----     
30,031161,長榮國泰0C購01,4,最近六個營業日累積收盤價跌幅達47.20%﹝第一款﹞。,110.07.28,19.70     ,-----     
30,031161,長榮國泰0C購01,4,最近六個營業日累積收盤價跌幅達58.36%﹝第一款﹞。,110.07.27,19.20     ,-----     
30,031161,長榮國泰0C購01,4,最近六個營業日累積收盤價跌幅達48.64%﹝第一款﹞。,110.07.26,23.30     ,-----     
30,031161,長榮國泰0C購01,4,最近六個營業日累積收盤價跌幅達39.12%﹝第一款﹞。,110.07.23,27.70     ,-----     
31,031168,長榮中信11購02,1,最近六個營業日累積收盤價跌幅達34.89%﹝第一款﹞。,110.07.21,6.70      ,-----     
32,031239,允強群益0A購01,1,最近六個營業日累積收盤價跌幅達33.51%﹝第一款﹞。,110.08.23,3.30      ,-----     
33,03126P,旭富凱基01售04,1,最近六個營業日累積收盤價跌幅達33.28%﹝第一款﹞。,110.01.04,1.02      ,-----     
34,031334,長榮元大0A購16,3,最近六個營業日累積收盤價跌幅達39.26%﹝第一款﹞。,110.08.02,16.30     ,-----     
34,031334,長榮元大0A購16,3,最近六個營業日累積收盤價跌幅達49.01%﹝第一款﹞。,110.07.30,16.30     ,-----     
34,031334,長榮元大0A購16,3,最近六個營業日累積收盤價跌幅達39.33%﹝第一款﹞。,110.07.29,19.10     ,-----     
35,031335,長榮元大12購03,3,最近六個營業日累積收盤價跌幅達33.04%﹝第一款﹞。,110.07.29,8.40      ,-----     
35,031335,長榮元大12購03,3,最近六個營業日累積收盤價跌幅達48.55%﹝第一款﹞。,110.07.28,7.60      ,-----     
35,031335,長榮元大12購03,3,最近六個營業日累積收盤價跌幅達39.51%﹝第一款﹞。,110.07.23,10.50     ,-----     
36,031429,長榮凱基0A購13,2,最近六個營業日累積收盤價跌幅達46.74%﹝第一款﹞。,110.07.26,12.10     ,-----     
36,031429,長榮凱基0A購13,2,最近六個營業日累積收盤價跌幅達38.09%﹝第一款﹞。,110.07.23,14.10     ,-----     
37,031430,長榮凱基0A購14,1,最近六個營業日累積收盤價跌幅達34.68%﹝第一款﹞。,110.07.22,14.50     ,-----     
38,031566,華榮凱基0A購01,3,最近六個營業日累積收盤價跌幅達36.28%﹝第一款﹞。,110.05.24,3.61      ,-----     
38,031566,華榮凱基0A購01,3,最近六個營業日累積收盤價跌幅達36.28%﹝第一款﹞。,110.05.21,3.61      ,-----     
38,031566,華榮凱基0A購01,3,最近六個營業日累積收盤價跌幅達38.96%﹝第一款﹞。,110.05.20,3.33      ,-----     
39,031582,長榮凱基0A購15,1,最近六個營業日累積收盤價跌幅達35.30%﹝第一款﹞。,110.07.23,13.90     ,-----     
40,031583,長榮凱基11購01,2,最近六個營業日累積收盤價跌幅達38.50%﹝第一款﹞。,110.07.22,7.35      ,-----     
40,031583,長榮凱基11購01,2,最近六個營業日累積收盤價跌幅達32.05%﹝第一款﹞。,110.07.21,8.35      ,-----     
41,031668,長榮元大0B購04,3,最近六個營業日累積收盤價跌幅達39.26%﹝第一款﹞。,110.08.02,16.70     ,-----     
41,031668,長榮元大0B購04,3,最近六個營業日累積收盤價跌幅達49.01%﹝第一款﹞。,110.07.30,16.70     ,-----     
41,031668,長榮元大0B購04,3,最近六個營業日累積收盤價跌幅達39.33%﹝第一款﹞。,110.07.29,19.50     ,-----     
42,031887,東森凱基0A購01,2,最近六個營業日累積收盤價跌幅達37.66%﹝第一款﹞。,110.08.24,7.20      ,-----     
42,031887,東森凱基0A購01,2,最近六個營業日累積收盤價跌幅達37.45%﹝第一款﹞。,110.08.23,9.05      ,-----     
43,031890,新唐凱基0A購02,1,最近六個營業日累積收盤價跌幅達38.60%﹝第一款﹞。,110.09.15,5.25      ,-----     
44,031946,大亞元大0A購01,2,最近六個營業日累積收盤價跌幅達37.41%﹝第一款﹞。,110.05.25,1.87      ,-----     
44,031946,大亞元大0A購01,2,最近六個營業日累積收盤價跌幅達36.07%﹝第一款﹞。,110.05.24,2.25      ,-----     
45,031965,長榮元大0A購20,4,最近六個營業日累積收盤價跌幅達37.40%﹝第一款﹞。,110.08.03,10.10     ,-----     
45,031965,長榮元大0A購20,4,最近六個營業日累積收盤價跌幅達45.04%﹝第一款﹞。,110.08.02,10.50     ,-----     
45,031965,長榮元大0A購20,4,最近六個營業日累積收盤價跌幅達54.79%﹝第一款﹞。,110.07.30,10.50     ,-----     
45,031965,長榮元大0A購20,4,最近六個營業日累積收盤價跌幅達48.34%﹝第一款﹞。,110.07.29,11.90     ,-----     
46,031998,長榮群益0C購04,1,最近六個營業日累積收盤價跌幅達38.51%﹝第一款﹞。,110.08.17,4.15      ,-----     
47,031999,長榮群益13購01,2,最近六個營業日累積收盤價跌幅達38.69%﹝第一款﹞。,110.07.22,26.00     ,-----     
