編號,證券代號,證券名稱,累計次數,注意交易資訊,日期,收盤價,本益比
1,030060,材料元大25購03,2,最近六個營業日累積收盤價跌幅達33.08%﹝第一款﹞。,112.03.23,9.85      ,-----     
1,030060,材料元大25購03,2,最近六個營業日累積收盤價漲幅達38.04%﹝第一款﹞。,112.02.02,11.70     ,-----     
2,032682,威盛群益28購01,2,最近六個營業日累積收盤價跌幅達33.20%﹝第一款﹞。,112.08.14,6.30      ,-----     
2,032682,威盛群益28購01,2,最近六個營業日累積收盤價跌幅達32.66%﹝第一款﹞。,112.08.11,6.60      ,-----     
3,033029,香港反凱基2A購02,1,最近六個營業日累積收盤價跌幅達43.80%﹝第一款﹞。,112.01.09,0.57      ,-----     
4,033904,裕民元富27購01,4,最近六個營業日累積收盤價漲幅達48.79%﹝第一款﹞。,112.02.02,21.50     ,-----     
4,033904,裕民元富27購01,4,最近六個營業日累積收盤價漲幅達58.57%﹝第一款﹞。,112.02.01,21.50     ,-----     
4,033904,裕民元富27購01,4,最近六個營業日累積收盤價漲幅達58.59%﹝第一款﹞。,112.01.31,19.00     ,-----     
4,033904,裕民元富27購01,4,最近六個營業日累積收盤價漲幅達58.70%﹝第一款﹞。,112.01.30,16.50     ,-----     
5,034313,FBNQ反凱基2A購01,1,最近六個營業日累積收盤價跌幅達89.09%﹝第一款﹞。,112.02.03,0.39      ,-----     
6,034314,FBNQ反凱基2A購02,1,最近六個營業日累積收盤價跌幅達88.76%﹝第一款﹞。,112.02.03,0.36      ,-----     
7,034315,美指2X凱基2B購01,1,最近六個營業日累積收盤價跌幅達38.53%﹝第一款﹞。,112.02.03,0.52      ,-----     
8,034604,創意統一2A購02,1,最近六個營業日累積收盤價跌幅達45.36%﹝第一款﹞。,112.08.14,3.44      ,-----     
9,035403,美費半群益2A購02,1,最近六個營業日累積收盤價跌幅達33.16%﹝第一款﹞。,112.02.15,0.97      ,-----     
10,035449,智原凱基29購03,1,最近六個營業日累積收盤價跌幅達34.07%﹝第一款﹞。,112.08.10,3.01      ,-----     
11,036225,大亞凱基29購01,2,最近六個營業日累積收盤價漲幅達35.18%﹝第一款﹞。,112.05.19,8.45      ,-----     
11,036225,大亞凱基29購01,2,最近六個營業日累積收盤價漲幅達32.07%﹝第一款﹞。,112.05.17,8.45      ,-----     
12,036948,東哥統一2B購04,1,最近六個營業日累積收盤價跌幅達33.93%﹝第一款﹞。,112.08.16,1.17      ,-----     
13,03707U,美費半凱基28售01,1,最近六個營業日累積收盤價跌幅達52.85%﹝第一款﹞。,112.02.03,0.83      ,-----     
14,038074,創意中信2A購02,1,最近六個營業日累積收盤價跌幅達38.87%﹝第一款﹞。,112.08.10,0.84      ,-----     
15,039765,緯創凱基29購02,2,最近六個營業日累積收盤價漲幅達42.55%﹝第一款﹞。,112.06.30,29.20     ,-----     
15,039765,緯創凱基29購02,2,最近六個營業日累積收盤價漲幅達33.86%﹝第一款﹞。,112.06.29,25.20     ,-----     
16,040282,智原凱基2A購04,4,最近六個營業日累積收盤價漲幅達45.92%﹝第一款﹞。,112.07.24,21.80     ,-----     
16,040282,智原凱基2A購04,4,最近六個營業日累積收盤價漲幅達55.54%﹝第一款﹞。,112.07.20,18.70     ,-----     
16,040282,智原凱基2A購04,4,最近六個營業日累積收盤價漲幅達57.29%﹝第一款﹞。,112.07.19,16.40     ,-----     
16,040282,智原凱基2A購04,4,最近六個營業日累積收盤價漲幅達51.09%﹝第一款﹞。,112.07.18,14.00     ,-----     
17,040284,緯創凱基2B購01,1,最近六個營業日累積收盤價跌幅達38.32%﹝第一款﹞。,112.10.19,38.30     ,-----     
18,040678,緯創凱基31購01,2,最近六個營業日累積收盤價跌幅達38.49%﹝第一款﹞。,112.10.26,35.30     ,-----     
18,040678,緯創凱基31購01,2,最近六個營業日累積收盤價跌幅達57.29%﹝第一款﹞。,112.10.24,36.20     ,-----     
19,041074,華孚統一2B購01,1,最近六個營業日累積收盤價跌幅達32.97%﹝第一款﹞。,112.07.26,1.81      ,-----     
20,041155,華孚凱基2A購01,1,最近六個營業日累積收盤價跌幅達38.60%﹝第一款﹞。,112.07.26,3.37      ,-----     
21,041398,創意凱基2C購05,2,最近六個營業日累積收盤價跌幅達38.78%﹝第一款﹞。,112.11.09,2.53      ,-----     
21,041398,創意凱基2C購05,2,最近六個營業日累積收盤價漲幅達44.07%﹝第一款﹞。,112.08.24,7.05      ,-----     
22,041732,華城凱基2C購02,1,最近六個營業日累積收盤價漲幅達36.63%﹝第一款﹞。,112.08.29,8.65      ,-----     
23,042037,緯創麥證2A購04,1,最近六個營業日累積收盤價跌幅達36.43%﹝第一款﹞。,112.09.20,42.60     ,-----     
24,044516,緯創統一32購02,2,最近六個營業日累積收盤價跌幅達35.08%﹝第一款﹞。,112.10.16,6.25      ,-----     
24,044516,緯創統一32購02,2,最近六個營業日累積收盤價跌幅達44.05%﹝第一款﹞。,112.10.13,6.35      ,-----     
25,046299,緯創統一33購02,1,最近六個營業日累積收盤價漲幅達37.76%﹝第一款﹞。,112.07.19,6.60      ,-----     
26,046403,技嘉凱基2B購07,1,最近六個營業日累積收盤價跌幅達34.64%﹝第一款﹞。,112.11.03,0.73      ,-----     
27,047037,緯創統一32購04,2,最近六個營業日累積收盤價跌幅達44.32%﹝第一款﹞。,112.09.11,3.47      ,-----     
27,047037,緯創統一32購04,2,最近六個營業日累積收盤價跌幅達35.44%﹝第一款﹞。,112.09.07,4.47      ,-----     
28,047846,光寶科凱基2C購06,1,最近六個營業日累積收盤價跌幅達36.94%﹝第一款﹞。,112.11.16,0.85      ,-----     
29,048544,技嘉元大31購12,1,最近六個營業日累積收盤價漲幅達38.51%﹝第一款﹞。,112.08.21,4.28      ,-----     
30,049026,智原凱基2C購06,2,最近六個營業日累積收盤價跌幅達49.83%﹝第一款﹞。且11月10日凱基自營證券商買進之比率為99.81%。且11月10日永豐金證券商賣出之比率為100.00% ﹝第五款﹞。,112.11.10,6.15      ,-----     
30,049026,智原凱基2C購06,2,最近六個營業日累積收盤價跌幅達47.21%﹝第一款﹞。,112.11.09,7.20      ,-----     
31,049661,緯創凱基2C購22,2,最近六個營業日累積收盤價跌幅達35.84%﹝第一款﹞。,112.10.23,1.81      ,-----     
