編號,證券代號,證券名稱,累計次數,注意交易資訊,日期,收盤價,本益比
1,006207,復華滬深,1,最近六個營業日累積收盤價漲幅達32.36%﹝第一款﹞。,113.10.07,30.46     ,-----     
2,00639,富邦深100,2,最近六個營業日累積收盤價漲幅達38.42%﹝第一款﹞。,113.10.08,14.52     ,-----     
2,00639,富邦深100,2,最近六個營業日累積收盤價漲幅達55.45%﹝第一款﹞。,113.10.07,17.10     ,-----     
3,00643,群益深証中小,1,最近六個營業日累積收盤價漲幅達39.59%﹝第一款﹞。,113.10.07,16.43     ,-----     
4,00783,富邦中証500,2,最近六個營業日累積收盤價漲幅達39.17%﹝第一款﹞。,113.10.08,24.70     ,-----     
4,00783,富邦中証500,2,最近六個營業日累積收盤價漲幅達42.51%﹝第一款﹞。且10月07日凱基自營證券商賣出之比率為44.74%﹝第五款﹞。,113.10.07,25.20     ,-----     
5,030414,大亞永豐3A購04,2,最近六個營業日累積收盤價漲幅達49.52%﹝第一款﹞。,113.05.09,2.34      ,-----     
5,030414,大亞永豐3A購04,2,最近六個營業日累積收盤價漲幅達38.87%﹝第一款﹞。,113.05.08,1.95      ,-----     
6,035011,藍天凱基41購01,2,最近六個營業日累積收盤價漲幅達38.36%﹝第一款﹞。,113.08.16,3.10      ,-----     
6,035011,藍天凱基41購01,2,最近六個營業日累積收盤價漲幅達33.68%﹝第一款﹞。,113.08.14,2.77      ,-----     
7,035039,SP黃豆群益41購01,1,最近六個營業日累積收盤價漲幅達38.59%﹝第一款﹞。,113.09.11,2.50      ,-----     
8,039778,力成國泰42購01,2,最近六個營業日累積收盤價跌幅達38.98%﹝第一款﹞。,113.09.12,0.32      ,-----     
8,039778,力成國泰42購01,2,最近六個營業日累積收盤價漲幅達38.81%﹝第一款﹞。,113.08.27,1.99      ,-----     
9,046756,士電統一35購04,2,最近六個營業日累積收盤價漲幅達37.27%﹝第一款﹞。,113.04.08,5.60      ,-----     
9,046756,士電統一35購04,2,最近六個營業日累積收盤價漲幅達35.29%﹝第一款﹞。,113.04.01,4.88      ,-----     
10,048915,A50正2永豐45購01,1,最近六個營業日累積收盤價漲幅達49.38%﹝第一款﹞。,113.10.04,6.40      ,-----     
11,051012,華泰統一36購01,1,最近六個營業日累積收盤價跌幅達38.53%﹝第一款﹞。,113.05.17,3.58      ,-----     
12,060918,貿聯富邦39購01,1,最近六個營業日累積收盤價漲幅達41.39%﹝第一款﹞。,113.06.21,3.18      ,-----     
13,062870,亞光統一54購01,1,最近六個營業日累積收盤價漲幅達36.52%﹝第一款﹞。,113.12.26,1.57      ,-----     
14,063049,川湖凱基36購02,2,最近六個營業日累積收盤價跌幅達49.54%﹝第一款﹞。,113.06.17,0.10      ,-----     
14,063049,川湖凱基36購02,2,最近六個營業日累積收盤價漲幅達39.19%﹝第一款﹞。,113.06.06,8.90      ,-----     
15,063590,臺股指富邦37購02,1,六個營業日起迄兩個營業日收盤價價差達101.00元且當日收盤價為最近六個營業日收盤價最低者﹝第十一款﹞,113.07.19,110.00    ,-----     
16,065082,華城統一41購01,1,最近六個營業日累積收盤價漲幅達38.49%﹝第一款﹞。,113.02.29,5.10      ,-----     
17,065352,英業達台新36購01,1,最近六個營業日累積收盤價漲幅達32.98%﹝第一款﹞。,113.05.22,7.95      ,-----     
18,066209,高力永豐38購01,1,最近六個營業日累積收盤價跌幅達36.19%﹝第一款﹞。,113.07.30,2.11      ,-----     
19,068389,T50反1元大3B購01,3,最近六個營業日累積收盤價漲幅達52.51%﹝第一款﹞。,113.10.04,1.77      ,-----     
19,068389,T50反1元大3B購01,3,最近六個營業日累積收盤價漲幅達42.51%﹝第一款﹞。,113.10.01,1.43      ,-----     
19,068389,T50反1元大3B購01,3,最近六個營業日累積收盤價漲幅達32.51%﹝第一款﹞。,113.09.30,1.09      ,-----     
20,068535,亞力國票37購01,2,最近六個營業日累積收盤價跌幅達45.38%﹝第一款﹞。,113.05.21,11.00     ,-----     
20,068535,亞力國票37購01,2,最近六個營業日累積收盤價跌幅達52.98%﹝第一款﹞。,113.05.20,12.00     ,-----     
21,068613,亞翔凱基37購03,2,最近六個營業日累積收盤價跌幅達43.46%﹝第一款﹞。,113.06.25,0.62      ,-----     
21,068613,亞翔凱基37購03,2,最近六個營業日累積收盤價跌幅達40.33%﹝第一款﹞。,113.06.24,1.32      ,-----     
22,068706,亞力富邦37購01,1,最近六個營業日累積收盤價跌幅達38.02%﹝第一款﹞。,113.05.21,4.61      ,-----     
23,069247,長榮元富3C購01,3,最近六個營業日累積收盤價漲幅達35.50%﹝第一款﹞。,113.06.18,30.00     ,-----     
