編號,證券代號,證券名稱,累計次數,注意交易資訊,日期,收盤價,本益比
1,087385,T50反1元大43購03,11,最近六個營業日累積收盤價漲幅達35.96%﹝第一款﹞。,113.12.31,2.49      ,-----     
1,1597,直得,11,最近六個營業日之累積週轉率為96.87%。且12月31日之週轉率為19.13%﹝第十款﹞。,113.12.31,119.50    ,173.19    
1,2211,長榮鋼,11,最近六個營業日累積收盤價跌幅達27.14%。且12月31日之成交量為最近六十個營業日日平均成交量之6.21倍﹝第三款﹞。且12月31日凱基證券商賣出之比率為40.59%﹝第五款﹞。,113.12.31,89.20     ,14.92     
1,2374,佳能,11,最近六個營業日之累積週轉率為218.05% 。且12月31日之週轉率為14.81%﹝第十款﹞。,113.12.31,65.70     ,39.82     
1,3450,聯鈞,11,12月31日之本益比為 159.44，且股價淨值比為10.14 。另當日週轉率為13.70%，暨瑞銀證券商成交買進金額達新臺幣壹億元以上，且占當日該有價證券總成交金額比率為13.43%。單一投資人當日買進該有價證券之成交金額占當日該有價證券總成交金額比率10%以上，且達新台幣壹億元以上﹝第六款﹞。,113.12.31,287.00    ,159.44    
1,3645,達邁,11,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.41倍。當日之成交量較最近六十個營業日之平均成交量放大為6.54倍﹝第九款﹞。,113.12.31,49.55     ,50.05     
1,6854,錼創科技-KY創,11,最近九十個營業日起迄兩個營業日之收盤價漲幅達177.77% ﹝第二款﹞。,113.12.31,200.00    ,-----     
1,6928,攸泰科技,11,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為6.19倍。當日之成交量較最近六十個營業日之平均成交量放大為 16.63倍﹝第九款﹞。,113.12.31,71.70     ,-----     
1,8033,雷虎,11,12月31日之本益比為 268.85，且股價淨值比為7.97。另當日週轉率為50.32%，暨元大證券商成交買進金額達新臺幣壹億元以上，且占當日該有價證券總成交金額比率為25.16%。且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.32倍。當日之成交量較最近六十個營業日之平均成交量放大為 20.47倍﹝第九款﹞。最近六個營業日之累積週轉率為78.53%。且12月31日之週轉率為50.32%﹝第十款﹞。,113.12.31,69.90     ,268.85    
1,9105,泰金寶-DR,11,最近六個營業日之累積週轉率為58.43%。且12月31日之週轉率為15.60%﹝第十款﹞。,113.12.31,9.31      ,-----     
1,911622,泰聚亨-DR,11,公開資訊觀測站公告當日之前一個營業日臺灣存託憑證兩地收盤價溢價30.43 % 且當日收盤價為最近六個營業日收盤價最高者﹝第八款﹞。,113.12.31,4.95      ,-----     
2,2233,宇隆,9,12月27日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率70.21%，且12月27日當日沖銷成交量占該日總成交量比率76.26%﹝第十三款﹞,113.12.30,267.50    ,24.27     
2,2374,佳能,9,12月27日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率71.84%，且12月27日當日沖銷成交量占該日總成交量比率82.05%﹝第十三款﹞,113.12.30,65.30     ,39.58     
2,2637,慧洋-KY,9,12月27日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率14.32%，且12月27日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.03倍﹝第十二款﹞,113.12.30,67.60     ,8.14      
2,3041,揚智,9,最近六個營業日之累積週轉率為66.20%。且12月30日之週轉率為38.59%﹝第十款﹞。,113.12.30,39.15     ,-----     
2,4977,眾達-KY,9,12月27日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率69.12%，且12月27日當日沖銷成交量占該日總成交量比率76.14%﹝第十三款﹞,113.12.30,142.00    ,143.43    
2,6558,興能高,9,12月27日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率80.36%，且12月27日當日沖銷成交量占該日總成交量比率85.44%﹝第十三款﹞,113.12.30,39.70     ,-----     
2,6695,芯鼎,9,12月27日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率66.55%，且12月27日當日沖銷成交量占該日總成交量比率69.50%﹝第十三款﹞,113.12.30,66.60     ,-----     
2,6854,錼創科技-KY創,9,最近九十個營業日起迄兩個營業日之收盤價漲幅達166.28% ﹝第二款﹞。,113.12.30,188.00    ,-----     
2,8033,雷虎,9,12月30日之本益比為 267.69，且股價淨值比為7.94。另當日週轉率為 7.20%，單一投資人當日買進該有價證券之成交金額占當日該有價證券總成交金額比率10%以上，且達新台幣壹億元以上。且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。,113.12.30,69.60     ,267.69    
3,1732,毛寶,20,最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.65倍。當日之成交量較最近六十個營業日之平均成交量放大為 28.18倍﹝第九款﹞。,113.12.27,31.00     ,163.16    
3,2250,IKKA-KY,20,最近六個營業日累積收盤價漲幅達35.36%﹝第一款﹞。12月26日之券資比為56.90%且為最近六個營業日之最低券資比8.68倍且融資使用率34.54%且融券使用率19.65%﹝第七款﹞。,113.12.27,146.00    ,23.17     
3,2374,佳能,20,12月26日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率67.98%，且12月26日當日沖銷成交量占該日總成交量比率67.93%﹝第十三款﹞,113.12.27,66.20     ,40.12     
3,2466,冠西電,20,最近六個營業日累積收盤價漲幅達44.18%﹝第一款﹞。最近三十個營業日起迄兩個營業日之收盤價漲幅達109.92% ﹝第二款﹞。,113.12.27,69.80     ,-----     
3,2606,裕民,20,12月26日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率13.79%，且12月26日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.11倍﹝第十二款﹞,113.12.27,57.10     ,10.40     
3,2637,慧洋-KY,20,12月26日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率12.96%，且12月26日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.30倍﹝第十二款﹞,113.12.27,66.50     ,8.01      
3,3029,零壹,20,12月26日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率66.12%，且12月26日當日沖銷成交量占該日總成交量比率65.30%﹝第十三款﹞,113.12.27,141.50    ,30.30     
3,3032,偉訓,20,最近六個營業日之累積週轉率為72.46%。且12月27日之週轉率為34.67%﹝第十款﹞。,113.12.27,92.70     ,18.07     
